Id	Area	Bedrooms	Bathrooms	Floors	YearBuilt	Location	Condition	Garage	Price
1	3451	5	5	3	2014	Coimbatore	Fair	No	31491234
2	3040	3	2	1	2019	Ahmedabad	Very Good	Yes	34109715
3	4321	6	5	3	2017	Mysore	Excellent	Yes	49411969
4	737	2	3	2	2021	Pune	Good	Yes	13117710
5	1942	3	3	1	2026	Hyderabad	Good	Yes	25558546
6	1215	3	3	3	2001	Hyderabad	Very Good	Yes	17324828
7	1607	2	1	4	2000	Ahmedabad	Good	Yes	16980750
8	2207	2	2	2	2010	Bangalore	Good	Yes	35544812
9	4435	6	5	2	2017	Noida	Good	No	71949967
10	1455	2	1	4	2016	Pune	Good	No	23175174
11	4204	6	5	2	2003	Pune	Excellent	No	69424845
12	2786	4	3	2	2011	Noida	Poor	No	37769970
13	2102	4	4	4	2014	Noida	Fair	No	31921772
14	3549	5	5	4	2022	Noida	Excellent	No	70377602
15	3799	4	4	4	2009	Kochi	Very Good	Yes	41153361
16	4761	6	5	3	2011	Delhi	Good	Yes	85786946
17	3345	4	4	4	2017	Jaipur	Good	No	35108225
18	4649	6	5	3	2024	Delhi	Very Good	Yes	108181027
19	3303	5	5	3	2022	Chennai	Good	Yes	49180210
20	2562	5	5	2	2003	Hyderabad	Very Good	Yes	33843025
21	2786	5	4	4	2003	Coimbatore	Good	Yes	26501497
22	1475	2	2	4	2001	Pune	Good	Yes	19576233
23	2964	4	5	3	2005	Jaipur	Good	No	28623785
24	3220	5	5	4	2024	Bangalore	Good	No	55308235
25	1216	3	3	3	2020	Coimbatore	Very Good	No	12879596
26	2599	4	3	3	2022	Delhi	Good	No	52037055
27	4120	6	5	4	2011	Ahmedabad	Very Good	No	47592213
28	2384	3	2	4	2022	Jaipur	Very Good	No	27772576
29	1271	1	1	2	2012	Noida	Fair	Yes	19119627
30	1950	2	2	2	2013	Delhi	Good	No	33943898
31	4999	6	5	3	2013	Noida	Very Good	No	91676014
32	1554	3	2	1	2015	Coimbatore	Good	No	15060422
33	939	2	2	1	2018	Pune	Poor	No	12428431
34	3378	5	5	3	1998	Pune	Good	No	43416516
35	2716	3	2	4	2012	Ahmedabad	Fair	Yes	26364561
36	3587	6	5	1	2015	Mysore	Good	Yes	31029943
37	3016	3	3	4	1998	Jaipur	Poor	No	21601191
38	791	1	2	4	2004	Mysore	Fair	No	6427974
39	2969	4	5	3	2009	Coimbatore	Excellent	Yes	34064237
40	3655	5	5	2	2001	Ahmedabad	Fair	No	31096642
41	4396	6	5	2	2015	Hyderabad	Good	Yes	55052580
42	3874	5	5	3	2025	Chennai	Very Good	Yes	59962914
43	2295	3	2	2	2014	Jaipur	Good	No	20478175
44	3649	6	5	2	2015	Pune	Poor	Yes	44397269
45	2404	2	3	4	2026	Mysore	Poor	No	20328934
46	1644	1	1	3	2000	Jaipur	Good	No	15403368
47	1134	2	2	1	2008	Delhi	Good	No	22327115
48	4324	6	5	2	2024	Chennai	Very Good	Yes	69955977
49	3117	4	5	3	2018	Noida	Good	No	54648643
50	3040	3	4	4	1999	Hyderabad	Good	Yes	32557677
51	2494	4	5	1	2009	Hyderabad	Poor	No	23607344
52	3274	6	5	2	2012	Pune	Excellent	No	60938386
53	1688	2	3	1	2021	Hyderabad	Very Good	No	24797422
54	3537	4	3	1	2008	Hyderabad	Very Good	No	47778806
55	827	1	1	1	2003	Chennai	Fair	Yes	10152787
56	4170	6	5	1	2001	Noida	Fair	No	54198776
57	2917	4	4	1	2016	Bangalore	Good	No	45383611
58	3739	4	3	1	2025	Chennai	Fair	Yes	45989453
59	579	1	1	1	2008	Bangalore	Good	No	9309980
60	582	1	1	4	2019	Kochi	Very Good	No	7237262
61	1126	1	1	4	2004	Delhi	Good	No	20468197
62	4266	6	5	2	2022	Mumbai	Good	Yes	96936473
63	4024	5	5	4	2013	Ahmedabad	Good	No	42836862
64	555	1	1	1	2026	Delhi	Good	No	11373155
65	1434	2	2	1	2015	Pune	Excellent	No	25912139
66	4394	5	5	4	2026	Mumbai	Very Good	No	110036775
67	2977	4	3	1	2001	Chennai	Very Good	Yes	39980603
68	4831	6	5	2	2014	Pune	Good	Yes	75842683
69	696	1	2	2	1999	Noida	Good	Yes	10230885
70	2766	3	4	3	2025	Mysore	Very Good	Yes	27143304
71	2506	4	3	4	2024	Delhi	Fair	Yes	47151002
72	3886	6	5	1	2004	Mysore	Good	No	30913328
73	3186	5	4	2	2007	Ahmedabad	Good	Yes	36081411
74	778	2	2	3	2012	Jaipur	Good	No	7983785
75	2254	4	4	3	2017	Bangalore	Good	No	37349186
76	1407	1	1	1	2026	Pune	Very Good	No	24764594
77	3581	5	5	3	2012	Jaipur	Fair	No	31716755
78	753	1	1	3	2023	Chennai	Very Good	No	11478591
79	1527	1	2	4	2024	Chennai	Good	No	19957995
80	1003	1	1	2	2012	Mumbai	Fair	No	19952519
81	3080	3	4	2	2005	Mysore	Very Good	Yes	29981316
82	2891	4	4	2	1999	Jaipur	Good	No	24245638
83	2344	4	5	3	2018	Jaipur	Fair	No	22708804
84	3192	4	4	3	2007	Mysore	Good	Yes	25712573
85	532	2	1	2	2024	Pune	Good	No	8410764
86	3178	5	5	4	2001	Hyderabad	Very Good	Yes	38612978
87	3130	3	3	1	2001	Pune	Good	Yes	40766521
88	903	1	1	4	2018	Delhi	Very Good	No	19227043
89	1523	2	2	2	2013	Chennai	Fair	Yes	17666904
90	3165	5	4	2	2008	Bangalore	Poor	Yes	41023671
91	4497	6	5	3	2012	Bangalore	Very Good	No	77722562
92	2538	4	3	4	2025	Noida	Good	Yes	41913551
93	637	1	1	4	2019	Noida	Fair	No	10305732
94	4540	6	5	2	2013	Mumbai	Good	Yes	104368396
95	4757	6	5	2	2024	Pune	Good	Yes	77468676
96	1183	3	3	4	2023	Jaipur	Fair	Yes	12829021
